ID,Survey,RA,Dec,Type
741,CGS,04 12 04.33,?32 52 27.2,hms
742,CGS,04 09 51.79,?56 07 06.3,hms
743,CGS,04 13 40.63,?31 38 42.7,hms
744,CGS,04 12 43.11,?57 44 16.4,hms
745,CGS,04 14 36.34,?56 03 38.8,hms
746,CGS,04 15 45.06,?55 35 32.0,hms
747,CGS,04 16 10.45,?55 46 47.9,hms
748,CGS,04 17 35.75,?62 47 01.6,hms
749,CGS,04 20 00.39,?54 56 16.4,hms
750,CGS,04 21 58.68,?56 58 28.3,hms
751,CGS,04 27 38.08,?55 01 39.8,hms
752,CGS,04 31 39.82,?05 05 10.5,hms
753,CGS,04 31 39.35,?54 36 07.7,hms
754,CGS,04 41 28.14,?02 51 28.5,hms
755,CGS,04 42 14.49,?20 26 05.4,hms
756,CGS,04 48 37.14,?06 19 11.9,hms
757,CGS,04 45 42.42,?59 14 50.6,hms
758,CGS,04 49 55.03,?31 57 56.1,hms
759,CGS,04 48 23.76,?59 48 01.3,hms
760,CGS,04 56 56.26,?04 51 56.7,hms
761,CGS,04 52 52.07,?59 44 32.2,hms
762,CGS,04 54 13.45,?53 21 39.6,hms
763,CGS,04 59 25.86,?10 58 50.6,hms
764,CGS,04 59 41.85,?07 45 18.8,hms
765,CGS,04 59 57.70,?26 01 20.1,hms
766,CGS,05 05 27.07,?11 52 16.8,hms
767,CGS,05 05 14.42,?37 58 50.1,hms
768,CGS,05 02 42.42,?61 08 24.1,hms
769,CGS,05 07 42.28,?37 30 45.6,hms
770,CGS,05 12 03.32,?15 41 15.9,hms
771,CGS,05 22 34.40,?11 29 58.9,hms
772,CGS,05 17 09.05,?64 57 35.1,hms
773,CGS,05 26 47.40,?63 45 36.8,hms
774,CGS,05 32 48.30,?14 03 45.5,hms
775,CGS,05 33 21.57,?21 56 45.6,hms
776,CGS,05 41 51.07,?64 18 04.4,hms
777,CGS,05 47 01.85,?34 15 01.7,hms
778,CGS,06 01 07.94,?23 40 20.8,hms
779,CGS,06 10 10.07,?34 06 14.4,hms
780,CGS,06 12 09.63,?21 48 21.7,hms
781,CGS,06 16 22.00,?21 22 22.1,hms
782,CGS,06 21 39.72,?27 14 01.7,hms
783,CGS,06 24 35.89,?22 50 17.9,hms
784,CGS,06 42 41.24,?27 27 34.3,hms
785,CGS,06 44 49.03,?27 38 18.6,hms
786,CGS,06 47 39.64,?26 44 46.5,hms
787,CGS,06 47 42.80,?26 45 15.5,hms
788,CGS,06 48 37.25,?64 16 23.9,hms
789,CGS,06 53 53.95,?40 51 45.8,hms
790,CGS,07 02 40.37,?28 41 50.3,hms
791,CGS,07 23 54.61,?27 31 43.8,hms
792,CGS,07 21 19.92,?69 00 05.7,hms
793,CGS,07 30 12.08,?62 15 09.5,hms
794,CGS,07 36 28.57,?47 38 13.3,hms
795,CGS,07 34 51.14,?69 17 03.5,hms
796,CGS,07 36 23.82,?69 31 51.3,hms
797,CGS,08 05 38.02,?11 25 37.5,hms
798,CGS,08 17 06.08,?27 27 20.0,hms
799,CGS,08 18 45.56,?25 29 58.2,hms
800,CGS,08 33 22.76,?22 58 24.9,hms
801,CGS,08 37 24.52,?55 07 25.0,hms
802,CGS,08 45 08.14,?33 47 40.9,hms
803,CGS,08 54 27.04,?03 04 00.9,hms
804,CGS,08 55 36.47,?03 11 02.4,hms
805,CGS,08 56 08.05,?03 21 36.6,hms
806,CGS,09 06 49.03,?15 29 59.7,hms
807,CGS,09 11 27.49,?14 49 00.4,hms
808,CGS,09 12 19.40,?24 10 21.4,hms
809,CGS,09 16 11.08,?16 18 45.9,hms
810,CGS,09 16 19.74,?23 37 59.9,hms
811,CGS,09 13 50.48,?69 38 42.8,hms
812,CGS,09 17 52.82,?22 21 17.2,hms
813,CGS,09 20 09.87,?16 31 32.9,hms
814,CGS,09 21 27.47,?11 54 34.3,hms
815,CGS,09 23 30.19,?23 09 40.8,hms
816,CGS,09 27 12.58,?11 38 36.6,hms
817,CGS,09 31 36.58,?16 44 05.0,hms
818,CGS,09 36 44.82,?21 07 41.7,hms
819,CGS,09 36 05.82,?12 26 11.8,hms
820,CGS,09 42 33.27,?03 41 57.0,hms
821,CGS,09 43 41.09,?20 28 38.4,hms
822,CGS,09 44 16.02,?21 16 41.1,hms
823,CGS,09 45 38.79,?31 11 27.9,hms
824,CGS,09 46 18.65,?30 26 14.9,hms
825,CGS,09 51 15.47,?32 45 09.1,hms
826,CGS,09 54 27.92,?18 38 20.1,hms
827,CGS,09 54 28.58,?25 42 12.1,hms
828,CGS,09 54 32.86,?28 17 53.6,hms
829,CGS,09 50 08.43,?73 55 18.6,hms
830,CGS,09 58 24.58,?26 55 35.8,hms
831,CGS,09 59 08.67,?34 13 30.9,hms
832,CGS,10 00 14.13,?19 38 11.0,hms
833,CGS,10 00 05.84,?31 33 10.4,hms
834,CGS,10 00 40.81,?31 39 52.1,hms
835,CGS,10 02 29.01,?31 40 38.6,hms
836,CGS,10 03 10.69,?26 09 27.9,hms
837,CGS,10 05 13.91,?07 43 06.8,hms
838,CGS,10 06 39.88,?19 13 17.6,hms
839,CGS,10 05 48.05,?67 22 40.6,hms
840,CGS,10 09 07.42,?29 03 50.8,hms
841,CGS,10 10 09.86,?12 26 01.7,hms
842,CGS,10 14 42.32,?28 52 19.8,hms
843,CGS,10 18 36.50,?17 58 57.1,hms
844,CGS,10 21 35.07,?34 16 00.6,hms
845,CGS,10 26 32.28,?39 56 38.6,hms
846,CGS,10 27 51.20,?43 54 14.0,hms
847,CGS,10 28 53.51,?35 36 19.6,hms
848,CGS,10 29 01.47,?44 39 24.9,hms
849,CGS,10 29 13.38,?44 07 22.2,hms
850,CGS,10 30 00.66,?35 19 31.4,hms
851,CGS,10 30 26.49,?35 21 34.1,hms
852,CGS,10 30 51.75,?36 44 13.0,hms
853,CGS,10 31 52.06,?34 51 13.1,hms
854,CGS,10 31 11.60,?46 15 05.0,hms
855,CGS,10 36 35.65,?27 31 06.4,hms
856,CGS,10 36 42.82,?27 31 42.0,hms
857,CGS,10 37 02.53,?27 33 54.1,hms
858,CGS,10 37 25.45,?25 19 09.6,hms
859,CGS,10 37 15.49,?41 37 39.0,hms
860,CGS,10 42 46.61,?36 21 11.6,hms
861,CGS,10 43 33.02,?36 24 38.6,hms
862,CGS,10 35 08.27,?43 41 30.6,hms
863,CGS,10 48 04.35,?31 32 00.4,hms
864,CGS,10 48 03.63,?20 50 57.0,hms
865,CGS,11 03 23.87,?23 05 09.3,hms
866,CGS,11 03 46.04,?23 14 43.7,hms
867,CGS,11 05 48.54,?00 02 09.1,hms
868,CGS,11 09 57.62,?37 32 21.0,hms
869,CGS,11 10 48.58,?37 26 53.1,hms
870,CGS,11 13 17.09,?26 45 17.2,hms
871,CGS,11 18 16.54,?32 48 50.6,hms
872,CGS,11 23 32.26,?08 39 30.6,hms
873,CGS,11 25 02.44,?09 47 43.0,hms
874,CGS,11 25 12.86,?26 44 11.9,hms
875,CGS,11 29 44.42,?36 23 28.7,hms
876,CGS,11 31 31.97,?30 18 27.9,hms
877,CGS,11 36 30.17,?09 50 48.2,hms
878,CGS,11 39 01.73,?37 44 18.9,hms
879,CGS,11 46 06.46,?56 23 28.0,hms
880,CGS,11 46 46.45,?27 55 19.9,hms
881,CGS,11 47 04.59,?16 51 16.6,hms
882,CGS,11 48 01.04,?10 57 43.5,hms
883,CGS,11 49 13.22,?29 16 36.5,hms
884,CGS,11 51 01.73,?28 48 21.5,hms
885,CGS,11 52 20.57,?26 54 21.4,hms
886,CGS,11 53 57.16,?23 09 51.5,hms
887,CGS,11 54 00.69,?20 34 02.3,hms
888,CGS,11 54 40.06,?13 58 29.9,hms
889,CGS,11 56 07.41,?19 53 45.2,hms
890,CGS,11 58 31.22,?18 20 48.4,hms
891,CGS,11 59 30.14,?19 15 55.5,hms
892,CGS,12 00 23.61,?01 06 00.0,hms
893,CGS,12 00 34.71,?17 50 33.5,hms
894,CGS,12 01 53.01,?18 52 03.4,hms
895,CGS,12 01 53.51,?18 53 10.3,hms
896,CGS,12 02 53.91,?16 22 24.9,hms
897,CGS,12 05 53.93,?14 31 35.3,hms
898,CGS,12 06 42.32,?29 45 51.5,hms
899,CGS,12 06 44.80,?29 46 05.9,hms
900,CGS,12 07 09.47,?40 12 29.5,hms
901,CGS,12 16 27.33,?43 19 27.5,hms
902,CGS,12 22 12.73,?33 29 04.5,hms
903,CGS,12 25 13.61,?39 46 05.5,hms
904,CGS,12 25 37.69,?39 19 10.5,hms
905,CGS,12 29 21.13,?23 09 59.8,hms
906,CGS,12 31 04.47,?08 03 14.6,hms
907,CGS,12 32 17.41,?07 33 48.9,hms
908,CGS,12 35 29.47,?03 47 35.2,hms
909,CGS,12 39 18.69,?00 31 53.6,hms
910,CGS,12 39 39.41,?05 20 38.9,hms
911,CGS,12 39 59.39,?11 37 22.9,hms
912,CGS,12 40 36.89,?05 07 57.9,hms
913,CGS,12 40 55.19,?40 58 34.9,hms
914,CGS,12 42 31.99,?00 04 57.3,hms
915,CGS,12 44 19.60,?40 43 54.2,hms
916,CGS,12 43 50.87,?00 33 40.2,hms
917,CGS,12 45 08.61,?00 27 42.9,hms
918,CGS,12 47 17.52,?02 43 38.6,hms
919,CGS,12 48 13.64,?03 19 58.3,hms
920,CGS,12 48 49.23,?41 18 39.3,hms
921,CGS,12 48 35.87,?05 48 02.4,hms
922,CGS,12 49 02.19,?08 39 51.7,hms
923,CGS,12 49 08.23,?11 24 35.7,hms
924,CGS,12 49 24.95,?05 11 44.8,hms
925,CGS,12 50 03.91,?41 22 55.1,hms
926,CGS,12 50 57.19,?14 19 58.2,hms
927,CGS,12 51 01.16,?06 23 34.5,hms
928,CGS,12 51 48.01,?10 27 17.1,hms
929,CGS,12 52 22.06,?01 11 58.3,hms
930,CGS,12 53 07.23,?10 29 39.2,hms
931,CGS,12 53 52.91,?39 42 51.4,hms
932,CGS,12 53 45.65,?06 37 19.9,hms
933,CGS,12 54 23.75,?10 32 13.6,hms
934,CGS,12 54 32.39,?06 51 33.7,hms
935,CGS,12 55 49.63,?12 03 18.7,hms
936,CGS,12 56 48.88,?08 31 31.0,hms
937,CGS,12 57 12.26,?13 39 53.2,hms
938,CGS,12 58 07.93,?46 15 51.2,hms
939,CGS,12 59 21.23,?15 02 31.2,hms
940,CGS,13 00 56.59,?13 56 38.9,hms
941,CGS,13 00 59.69,?14 30 48.5,hms
942,CGS,13 04 05.21,?41 24 41.1,hms
943,CGS,13 03 56.92,?11 29 48.1,hms
944,CGS,13 04 17.10,?30 31 34.2,hms
945,CGS,13 04 14.32,?10 20 22.3,hms
946,CGS,13 04 13.09,?05 33 05.6,hms
947,CGS,13 05 27.09,?49 28 02.1,hms
948,CGS,13 05 20.19,?35 20 14.4,hms
949,CGS,13 05 07.72,?06 29 37.8,hms
950,CGS,13 05 48.87,?08 01 12.9,hms
951,CGS,13 07 09.36,?28 13 41.7,hms
952,CGS,13 08 37.55,?49 30 21.9,hms
953,CGS,13 08 48.69,?06 46 38.9,hms
954,CGS,13 08 57.22,?15 30 58.5,hms
955,CGS,13 09 40.61,?07 49 59.9,hms
956,CGS,13 12 51.85,?43 05 46.4,hms
957,CGS,13 13 01.05,?19 31 05.8,hms
958,CGS,13 14 13.62,?42 57 40.6,hms
959,CGS,13 15 30.99,?23 59 01.9,hms
960,CGS,13 15 23.95,?16 23 07.6,hms
961,CGS,13 16 58.42,?16 38 04.4,hms
962,CGS,13 18 05.11,?26 50 13.8,hms
963,CGS,13 18 54.72,?21 02 20.2,hms
964,CGS,13 19 31.64,?12 39 24.9,hms
965,CGS,13 19 50.06,?27 24 36.5,hms
966,CGS,13 20 16.81,?21 49 38.6,hms
967,CGS,13 20 24.95,?20 36 39.6,hms
968,CGS,13 21 12.85,?43 42 16.9,hms
969,CGS,13 21 46.15,?27 25 49.2,hms
970,CGS,13 21 57.59,?36 37 48.1,hms
971,CGS,13 24 45.60,?37 40 55.6,hms
972,CGS,13 25 27.97,?43 01 05.1,hms
973,CGS,13 25 18.52,?21 08 03.3,hms
974,CGS,13 25 44.01,?29 50 00.9,hms
975,CGS,13 28 44.08,?48 55 00.4,hms
976,CGS,13 29 13.92,?33 10 25.5,hms
977,CGS,13 29 48.76,?17 57 59.4,hms
978,CGS,13 31 28.27,?34 47 39.1,hms
979,CGS,13 31 53.49,?33 14 03.3,hms
980,CGS,13 33 43.97,?48 09 04.0,hms
981,CGS,13 37 00.92,?29 51 56.5,hms
982,CGS,13 38 02.99,?17 53 02.3,hms
983,CGS,13 39 56.01,?31 38 25.0,hms
984,CGS,13 39 37.89,?11 29 37.8,hms
985,CGS,13 41 36.39,?29 54 47.1,hms
986,CGS,13 43 02.12,?48 10 09.9,hms
987,CGS,13 47 40.05,?30 56 21.9,hms
988,CGS,13 52 05.90,?06 03 29.7,hms
989,CGS,13 52 53.30,?28 29 21.5,hms
990,CGS,13 54 24.23,?48 30 44.9,hms
991,CGS,13 52 54.41,?01 06 52.5,hms
992,CGS,13 54 00.26,?07 55 50.1,hms
993,CGS,14 03 20.56,?41 22 41.8,hms
994,CGS,14 03 38.71,?33 58 41.7,hms
995,CGS,14 03 24.85,?06 04 08.8,hms
996,CGS,14 03 26.05,?06 01 50.9,hms
997,CGS,14 06 34.89,?05 27 10.7,hms
998,CGS,14 10 25.04,?43 19 28.4,hms
999,CGS,14 13 14.86,?03 12 27.3,hms
1000,CGS,14 15 54.67,?48 06 53.6,hms
1001,CGS,14 18 27.27,?43 23 17.4,hms
1002,CGS,14 20 34.06,?29 14 30.3,hms
1003,CGS,14 24 27.43,?16 45 45.8,hms
1004,CGS,14 32 40.71,?44 10 27.9,hms
1005,CGS,14 39 35.14,?45 01 08.4,hms
1006,CGS,14 40 11.49,?00 17 20.0,hms
1007,CGS,14 42 23.88,?17 15 11.0,hms
1008,CGS,14 58 56.26,?42 00 47.8,hms
1009,CGS,14 58 46.19,?19 16 00.8,hms
1010,CGS,14 58 22.66,?01 05 27.6,hms
1011,CGS,14 59 24.08,?16 37 26.0,hms
1012,CGS,15 00 55.66,?07 27 26.6,hms
1013,CGS,15 11 53.68,?72 51 33.5,hms
1014,CGS,15 09 16.07,?11 19 17.9,hms
1015,CGS,15 13 45.69,?14 16 11.5,hms
1016,CGS,15 15 04.16,?10 05 09.5,hms
1017,CGS,15 13 48.17,?15 27 49.4,hms
1018,CGS,15 18 13.58,?24 05 52.2,hms
1019,CGS,15 18 36.51,?24 04 06.7,hms
1020,CGS,15 21 33.03,?13 05 30.7,hms
1021,CGS,15 36 26.18,?66 51 34.4,hms
1022,CGS,15 48 15.89,?75 40 22.5,hms
1023,CGS,16 21 48.58,?02 17 00.5,hms
1024,CGS,16 34 52.52,?60 37 07.7,hms
1025,CGS,16 51 06.84,?58 59 35.3,hms
1026,CGS,16 52 46.29,?59 13 00.8,hms
1027,CGS,17 16 59.49,?62 49 13.7,hms
1028,CGS,17 43 30.28,?69 47 06.6,hms
1029,CGS,18 22 17.48,?85 24 07.4,hms
1030,CGS,18 22 35.49,?85 24 22.8,hms
1031,CGS,18 02 48.34,?66 25 49.8,hms
1032,CGS,18 45 06.33,?62 17 49.5,hms
1033,CGS,18 48 57.83,?65 10 23.9,hms
1034,CGS,18 52 02.08,?57 19 14.4,hms
1035,CGS,19 09 46.11,?63 51 26.7,hms
1036,CGS,19 11 23.58,?57 02 57.4,hms
1037,CGS,19 11 25.73,?50 38 31.6,hms
1038,CGS,19 13 52.33,?56 18 35.8,hms
1039,CGS,19 18 31.96,?60 31 33.9,hms
1040,CGS,19 18 37.28,?60 29 47.4,hms
1041,CGS,19 23 57.82,?59 55 20.7,hms
1042,CGS,19 26 49.73,?54 57 04.6,hms
1043,CGS,19 43 34.39,?58 39 19.9,hms
1044,CGS,19 42 40.56,?10 19 25.0,hms
1045,CGS,19 44 56.52,?14 48 32.6,hms
1046,CGS,20 03 34.32,?48 17 04.2,hms
1047,CGS,20 07 19.42,?48 22 12.4,hms
1048,CGS,20 09 53.98,?48 22 46.3,hms
1049,CGS,20 16 56.37,?70 46 04.8,hms
1050,CGS,20 18 19.09,?70 51 31.4,hms
1051,CGS,20 17 17.29,?52 47 48.2,hms
1052,CGS,20 20 49.61,?48 14 20.7,hms
1053,CGS,20 24 28.04,?43 39 12.3,hms
1054,CGS,20 25 06.65,?24 48 32.6,hms
1055,CGS,20 27 38.91,?47 01 36.8,hms
1056,CGS,20 31 39.01,?30 49 54.6,hms
1057,CGS,20 34 20.45,?31 58 49.6,hms
1058,CGS,20 38 20.18,?52 06 37.7,hms
1059,CGS,20 40 37.79,?54 18 10.8,hms
1060,CGS,20 44 33.63,?68 44 51.4,hms
1061,CGS,20 48 42.57,?37 59 50.7,hms
1062,CGS,21 11 51.99,?49 17 01.2,hms
1063,CGS,21 15 07.48,?47 13 13.3,hms
1064,CGS,21 16 32.33,?48 21 48.5,hms
1065,CGS,21 19 00.26,?48 33 43.5,hms
1066,CGS,21 27 21.45,?60 00 52.5,hms
1067,CGS,21 30 25.35,?43 05 13.5,hms
1068,CGS,21 32 35.21,?44 04 03.2,hms
1069,CGS,21 35 44.60,?63 54 10.0,hms
1070,CGS,21 36 28.18,?54 33 19.9,hms
1071,CGS,21 44 16.10,?75 06 40.6,hms
1072,CGS,21 49 45.96,?34 52 34.2,hms
1073,CGS,21 52 15.29,?55 34 10.7,hms
1074,CGS,21 52 42.44,?48 15 13.6,hms
1075,CGS,21 53 20.23,?47 52 56.3,hms
1076,CGS,21 55 21.07,?34 48 51.4,hms
1077,CGS,22 02 01.89,?31 52 11.5,hms
1078,CGS,22 02 05.91,?31 58 48.8,hms
1079,CGS,22 02 39.77,?20 48 45.5,hms
1080,CGS,22 06 50.04,?64 18 58.5,hms
1081,CGS,22 05 54.75,?50 07 09.5,hms
1082,CGS,22 08 34.29,?57 26 33.2,hms
1083,CGS,22 09 16.19,?47 09 59.7,hms
1084,CGS,22 10 11.76,?16 39 40.6,hms
1085,CGS,22 28 36.95,?24 50 34.4,hms
1086,CGS,22 33 52.53,?40 55 58.0,hms
1087,CGS,22 35 46.15,?26 03 01.3,hms
1088,CGS,22 40 24.17,?66 28 43.8,hms
1089,CGS,22 42 18.17,?30 03 29.2,hms
1090,CGS,22 46 03.73,?11 00 04.0,hms
1091,CGS,22 47 47.43,?22 18 43.7,hms
1092,CGS,22 51 48.71,?20 36 29.3,hms
1093,CGS,22 55 00.88,?39 39 40.4,hms
1094,CGS,22 55 45.72,?42 38 31.1,hms
1095,CGS,22 56 36.09,?37 01 47.3,hms
1096,CGS,22 56 54.31,?37 20 50.1,hms
1097,CGS,22 57 18.37,?41 04 13.8,hms
1098,CGS,23 02 10.32,?39 34 09.5,hms
1099,CGS,23 09 47.28,?43 25 40.3,hms
1100,CGS,23 12 07.55,?28 32 21.9,hms
1101,CGS,23 13 14.03,?28 21 27.1,hms
1102,CGS,23 14 48.39,?43 35 59.3,hms
1103,CGS,23 16 10.68,?42 35 04.6,hms
1104,CGS,23 18 23.53,?42 22 13.6,hms
1105,CGS,23 18 01.31,?04 39 01.0,hms
1106,CGS,23 18 54.74,?42 14 20.6,hms
1107,CGS,23 19 21.04,?42 15 25.9,hms
1108,CGS,23 19 04.76,?08 29 06.2,hms
1109,CGS,23 33 16.72,?54 05 39.6,hms
1110,CGS,23 36 14.96,?37 56 16.6,hms
1111,CGS,23 38 48.61,?06 31 03.8,hms
1112,CGS,23 38 57.00,?12 57 39.9,hms
1113,CGS,23 39 53.75,?12 17 34.0,hms
1114,CGS,23 47 51.69,?30 31 18.8,hms
1115,CGS,23 57 49.83,?32 35 27.7,hms
1116,CGS,23 58 59.71,?55 27 29.8,hms
1117,CGS,00 01 58.14,?15 27 39.9,hms
1118,CGS,01 05 04.85,?06 12 44.6,hms
1119,CGS,09 10 49.45,?08 53 26.8,hms
1120,CGS,10 10 59.52,?04 41 43.7,hms
